timestamp,content,author_id,like_count,retweet_count,reply_count,mentions,hashtags
Sun Aug 31 09:06:54 +0000 2025,"In the past 1 year, equity📉 returns seem to have been eaten alive by Gold ✨📈. Equity is a long term investment subject to market risk.😅

#Nifty50 #GoldBees #AbhishekVigyan #EquityMarket #CommodityMarket https://t.co/N1BTmUvE2o",abhishekvigyan,0,0,0,,"Nifty50, GoldBees, AbhishekVigyan, EquityMarket, CommodityMarket"
Sun Aug 31 09:06:01 +0000 2025,"Reviewing NSE/Commodities charts this evening. If you're interested in any specific stock, feel free to drop it here.   Happy to analyze it with a focus on RSI learning.    Retweet must !!   
#trading #learning #stocktobuy #investing #NSE #RSI #nifty50 #Nifty #banknifty",MotlaSK,0,0,0,,"trading, learning, stocktobuy, investing, NSE, RSI, nifty50, Nifty, banknifty"
Sun Aug 31 09:00:11 +0000 2025,"Great trades are born at moments of uncertainty. 
.
.
#Nifty #Markets #niftycrash #Optionselling #USDINR #Rupee #sensex #signal #banknifty #smallcap #speedbot https://t.co/KSmrgB3Rav",SpeedbotT,0,0,0,,"Nifty, Markets, niftycrash, Optionselling, USDINR, Rupee, sensex, signal, banknifty, smallcap, speedbot"
Sun Aug 31 08:59:17 +0000 2025,"if this structure works to the downside then:#Nifty50 
confirmation awaited*
@vka27 
@IdiSrinivas https://t.co/2vrdsZdWbX",tradingdwave,0,0,0,"🇮🇳 VKA, Idi Srinivas Murthy",Nifty50
Sun Aug 31 08:58:32 +0000 2025,"#Gold weekly prediction by TDI
✅✅✅✅
XAUUSD-GOLD 
Sell at 3455

 SL 3468

Target:- 3445
Target:- 3440
Target:- 3435
Target:- 3430
Target:- 3425
Target:- 3420
Target:- 3400

#Stockmarket #forex #xausd #silver #mcx #crudeoil #giftnifty #sensex #finnifty #banknifty #india #ipo",tradingdocindia,1,0,0,,"Gold, Stockmarket, forex, xausd, silver, mcx, crudeoil, giftnifty, sensex, finnifty, banknifty, india, ipo"
Sun Aug 31 08:55:20 +0000 2025,"Upgraded: #RKSM(c) is an unique concept!

#BankNifty &amp; #Risk has to calculate for any #Asset!

Do your research/work with us  https://t.co/FDORpW8Mfa

#Nifty #Nifty50 #Commodities #Stocks #Gold #DataDecoder #TrendTracker #MarketInsights #StockMarket #FII #DII #Trading #ETH #BTC https://t.co/3nOG4UiGyd",researchrks,1,0,0,,"RKSM, BankNifty, Risk, Asset, Nifty, Nifty50, Commodities, Stocks, Gold, DataDecoder, TrendTracker, MarketInsights, StockMarket, FII, DII, Trading, ETH, BTC"
Sun Aug 31 08:51:14 +0000 2025,"25153.xx high(21st august).
#Nifty50",tradingdwave,0,0,0,,Nifty50
Sun Aug 31 08:49:29 +0000 2025,NSE REVISED BANK NIFTY FREEZE LIMIT FOR TRADERS. #NSE #BankNifty https://t.co/7tPV457Bnw,in_trend_today,0,0,0,,"NSE, BankNifty"
Sun Aug 31 08:48:23 +0000 2025,"@chuchu_36 Nifty ⚡ hovers near 24,250–24,700 range as 🇺🇸 tariffs, global data 📊 &amp; GST reforms 🇮🇳 keep traders on edge 🤯 #Nifty50📈 #StockMarket📊 #BroccoliAi🇮🇳",broccoli_tech,0,0,0,Winnie 🤍💦,"Nifty50, StockMarket, BroccoliAi"
Sun Aug 31 08:47:53 +0000 2025,"Aprameya Engineering ✅ 
Weekly Breakout Done 🔥
CMP = 193

#Stocks #IPO #GMP #BSE #Breakoutstock #Nifty50 https://t.co/Xg5qC0Ckcg",HELTON_YT1,1,0,0,,"Stocks, IPO, GMP, BSE, Breakoutstock, Nifty50"
